"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"CATEGORY";"CREATED_BY";"DESCRIPTION";"DIGIKEY";"HEIGHT";"MANUFACTURE";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMP";"PART_STATUS";"POPULARITY";"QUANITY";"ROHS_COMPLIANT";"SERIES";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";
"1";"EDGE-LIBRARY_HDMI_CONNECTOR_RT_SMA";"EDGE-LIBRARY_HDMI_CONNECTOR_RT_SMA";"EDGE-LIBRARY_STEWART_SS-53000-001";"J7";"HDMI Connector | Right Angle | Without Flange | -20C to 85C";"";"";"";"";"";"380-SS-53000-001-ND";"";"";"Stewart Connector";"";"";"";"";"";"";"SS-53000-001";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"EDGE-LIBRARY_L836-1J1T-43_L836-1J1T-43";"EDGE-LIBRARY_L836-1J1T-43_L836-1J1T-43";"EDGE-LIBRARY_L836-1J1T-43_BEL_L836-1J1T-43";"J5, J17";"1X1 | GIGABIT | Tab Down | Low Profile | With LED";"";"";"";"";"";"507-2236-ND";"";"";"Bel Magnetic Solutions";"";"";"";"";"";"";"L836-1J1T-43";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"EDGE-LIBRARY_MMBZ5242BLT3G";"EDGE-LIBRARY_MMBZ5242BLT3G";"EDGE-LIBRARY_SOT23";"D3";"Diode Ziner 12V 225mW SOT23-3";"";"";"";"";"";"MMBZ5242BLT3GOSCT-ND";"";"";"On Semiconductor";"";"";"";"";"";"";"MMBZ5242BLT3G";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"EDGE-LIBRARY_PCIE_CONNECTOR_36POS";"EDGE-LIBRARY_PCIE_CONNECTOR_36POS";"EDGE-LIBRARY_AMPHENOL_10018784-10210TLF";"J9";"Conn PCI Express Card Edge SKT 36 POS 2mm Solder ST Thru-Hole Tray";"";"";"";"";"";"609-2029-ND";"";"";"Amphenol ICC";"";"";"";"";"";"";"10018784-10210TLF";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"EDGE-LIBRARY_RPI-CM4";"EDGE-LIBRARY_RPI-CM4";"EDGE-LIBRARY_RPI-CM4";"MOD1";"";"";"";"";"";"";"H11615CT-ND";"";"";"Hirose Electric Co Ltd";"";"";"";"";"";"";"DF40C-0.4V(51)";"";"";"";"";"";"2";"";"";"";"";"";"";"";
"3";"EDGE-LIBRARY_SRN6045TA-3R3Y_SRN6045TA-3R3Y";"EDGE-LIBRARY_SRN6045TA-3R3Y_SRN6045TA-3R3Y";"EDGE-LIBRARY_SRN6045TA-3R3Y_IND_SRN6045TA-3R3Y";"L1, L3, L4";"Inductor Power Semi-Shielded Wirewound 220uH 20% 1MHz 15Q-Factor Ferrite 600mA 900mOhm DCR 2424 Automotive T/R";"";"";"";"";"";"SRN6045TA-3R3YCT-ND";"";"";"Bourns";"";"";"";"";"";"";"SRN6045TA-3R3Y";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"EDGE-LIBRARY_SRN6045TA-3R3Y_SRN6045TA-3R3Y";"EDGE-LIBRARY_SRN6045TA-3R3Y_SRN6045TA-3R3Y";"EDGE-LIBRARY_SRN6045TA-3R3Y_IND_SRN6045TA-3R3Y";"L2, L5";"Inductor Power Semi-Shielded Wirewound 220uH 20% 1MHz 15Q-Factor Ferrite 600mA 900mOhm DCR 2424 Automotive T/R";"";"";"";"";"";"SRN6045TA-6R8MCT-ND";"";"";"Bourns";"";"";"";"";"";"";"SRN6045TA-6R8M";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"EDGE-LIBRARY_TPD4EUSB30DQAR_TPD4EUSB30DQAR";"EDGE-LIBRARY_TPD4EUSB30DQAR_TPD4EUSB30DQAR";"EDGE-LIBRARY_TPD4EUSB30DQAR_IC_TPD4EUSB30DQAR";"U1, U2, U12, U18, U19, U21";"4-channel ESD solution for SuperSpeed (6 Gbps) USB 3.0 interface 10-USON -40 to 85";"";"";"";"";"";"296-28063-1-ND";"";"";"Texas Instruments";"";"";"";"";"";"";"TPD4EUSB30DQAR";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"EDGE-LIBRARY_USB2514B-I_M2_USB2514B-I/M2";"EDGE-LIBRARY_USB2514B-I_M2_USB2514B-I/M2";"EDGE-LIBRARY_USB2514B-I_M2_QFN50P600X600X100-37N";"U13";"None Check prices";"";"";"";"";" USB Hub Controller USB Interface 36-SQFN (6x6) ";"USB2514B-I/M2-ND";"";"";"Microchip";"";"";"";"";"";"";"USB2514B-I/M2";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"EDGE-LIBRARY_USB_A_2PORT_STACKED_SMA";"EDGE-LIBRARY_USB_A_2PORT_STACKED_SMA";"EDGE-LIBRARY_67298-4090_MOLEX_67298-4090";"J14";"Conn USB Type A RCP 4/4 POS Solder RA Thru-Hole 8 Terminal 2 Port Tray";"";"";"";"";" USB-A (USB TYPE-A), Stacked Receptacle Connector 8 Position Through Hole, Right Angle ";"WM17130-ND";"";"";"Molex";"";"";"";"";"";"";"672984090";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FSUSB42UMX";"FSUSB42UMX";"QFN40P140X180X55-10N";"U14";"IC, Fairchild, FSUSB42UMX";"FSUSB42UMX";"https://www.arrow.com/en/products/fsusb42umx/on-semiconductor?region=nac";"";"";"IC, Fairchild, FSUSB42UMX";"";"0.55mm";"";"";"ON Semiconductor";"FSUSB42UMX";"";"";"512-FSUSB42UMX";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/FSUSB42UMX?qs=eJLAyKFqilUl3553fx9DLQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"L712RAS_L712RAS";"L712RAS_L712RAS";"L712RAS_SWITCHCRAFT_L712RAS";"J3, J16";"Power Barrel Connector Jack 2.50mm ID (0.098"), 5.50mm OD (0.217") Panel Mount, Through Hole, Right Angle  Check prices";"";"";"";"";" Power Barrel Connector Jack 2.50mm ID (0.098), 5.50mm OD (0.217) Panel Mount, Through Hole, Right Angle ";"SC1394-ND";"";"";"Switchcraft";"";"";"";"";"";"";"L712RAS";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LAN7800-I_VSX";"LAN7800-I_VSX";"QFN40P600X600X90-49N";"U16";"USB Interface IC USB3.1 Gen1 to 10/100/1000 Ethernet Bridge, Industrial temp.";"";"";"";"";"";"LAN7800-I/VSX-ND";"";"";"Microchip";"";"";"";"";"";"";"LAN7800-I/VSX";"";"";"";"";"";"";"";"";"";"";"";"";"";
